Kanton,Bezirk,Gemeinde,Afrika,Asien,EFTA-Staaten,Lateinamerika und Karibik,Nordamerika,Ohne Angabe,Ozeanien,Staatenlos,Ã¯Â¿Â½briges Europa (Europa ohne EU und EFTA)
Aargau,Bezirk Aarau,Aarau,367,463,5,91,24,4,6,0,1149
Aargau,Bezirk Aarau,Biberstein,14,1,0,2,0,0,0,0,9
Aargau,Bezirk Aarau,Buchs (AG),257,208,3,34,3,3,4,0,973
Aargau,Bezirk Aarau,DensbÃ¯Â¿Â½ren,4,3,0,0,0,0,0,0,14
Aargau,Bezirk Aarau,Erlinsbach (AG),23,81,1,12,2,1,2,0,152
Aargau,Bezirk Aarau,GrÃ¯Â¿Â½nichen,62,115,0,15,7,2,0,0,592
Aargau,Bezirk Aarau,Hirschthal,2,15,0,2,1,0,0,0,41
Aargau,Bezirk Aarau,KÃ¯Â¿Â½ttigen,98,71,2,15,3,0,0,0,219
Aargau,Bezirk Aarau,Muhen,16,22,0,3,0,0,0,0,146
Aargau,Bezirk Aarau,Oberentfelden,247,227,4,35,9,1,1,0,1092
Aargau,Bezirk Aarau,Suhr,421,449,5,48,4,0,1,0,1128
Aargau,Bezirk Aarau,Unterentfelden,90,92,0,19,1,2,1,0,359
Aargau,Bezirk Baden,Baden,140,489,6,171,67,7,10,0,827
Aargau,Bezirk Baden,Bellikon,1,11,0,4,3,0,0,0,14
Aargau,Bezirk Baden,Bergdietikon,2,35,0,4,6,3,3,0,58
Aargau,Bezirk Baden,Birmenstorf (AG),16,52,0,13,8,0,0,1,88
Aargau,Bezirk Baden,Ennetbaden,24,82,0,9,18,1,4,0,86
Aargau,Bezirk Baden,Fislisbach,41,96,0,38,3,0,0,1,356
Aargau,Bezirk Baden,Freienwil,0,2,2,1,2,0,2,0,20
Aargau,Bezirk Baden,Gebenstorf,12,108,0,26,6,1,1,0,503
Aargau,Bezirk Baden,Killwangen,4,29,0,4,3,0,0,0,162
Aargau,Bezirk Baden,KÃ¯Â¿Â½nten,6,21,0,10,0,0,2,0,56
Aargau,Bezirk Baden,MÃ¯Â¿Â½genwil,13,58,0,15,1,5,1,0,136
Aargau,Bezirk Baden,Mellingen,69,138,1,33,0,4,4,0,619
Aargau,Bezirk Baden,Neuenhof,78,347,0,78,7,3,7,0,1538
Aargau,Bezirk Baden,Niederrohrdorf,13,50,1,23,2,0,2,0,129
Aargau,Bezirk Baden,Oberrohrdorf,12,45,1,12,4,0,0,0,119
Aargau,Bezirk Baden,Obersiggenthal,93,423,6,63,14,2,3,3,805
Aargau,Bezirk Baden,Remetschwil,4,30,0,1,1,0,0,0,43
Aargau,Bezirk Baden,Spreitenbach,64,215,8,108,6,1,2,1,2790
Aargau,Bezirk Baden,Stetten (AG),2,7,1,1,1,0,1,0,109
